SpectraSmart Spectrum 2.10.0.0
--------- Device Information -----------
Spectrum Name : ,Spectrum_0
Saving Time : ,2024/06/18 18:23:30
Spectro-Module Model Name :,EE2063S-DUVN4
Spectro-Module Serial Number :,TEST-INSTRUMENT-001
Wavelength Start :,285
Wavelength End :,1100
Wavelength Unit :,Wavelength(nm)
Spectrum Unit :,Intensity(Counts)
MB Temperature(°C) :,NA
TEC Temperature(°C) :,-6.80 °C
-----------Spectrum Setting ------------
Integration Time :,8ms
Average :,50
Boxcar :,0
Background removal :, enabled
linearity correction :, enabled
SC :, disabled
Intensity correction :, disabled
DWT denoise :, enabled
savitzky-golay :, disabled
FFT :, disabled
Running average :, disabled
Kalman :, disabled
High pass :, disabled
---------------BEGIN--------------------
Wavelength(nm)      ,   Intensity(Counts)
676.61,       830.8156
677.03,       830.0994
677.46,       829.1132
677.89,       827.8701
678.31,       826.7156
678.74,       826.2072
679.17,       826.4545
679.60,       827.3318
680.02,       828.4052
680.45,       828.9548
680.88,       828.7636
681.30,       827.9668
681.73,       826.9537
682.16,       826.3488
682.58,       826.3422
683.01,       826.8418
683.44,       827.3443
683.86,       827.0885
684.29,       825.9273
684.71,       823.9669
685.14,       822.1243
685.57,       821.9214
685.99,       823.4973
686.42,       826.3245
686.85,       829.0453
687.27,       829.3788
687.70,       827.3614
688.12,       824.4145
688.55,       821.8392
688.98,       822.5289
689.40,       826.6717
689.83,        830.693
690.25,       835.8964
690.68,       847.2051
691.11,       858.3455
691.53,         872.16
691.96,       854.3076
692.38,       843.4044
692.81,       834.5095
693.23,       833.4946
693.66,       837.9497
694.08,       837.7935
694.51,       825.1135
694.93,       813.6684
695.36,       839.3789
695.79,        861.238
696.21,       970.6458
696.64,       1305.569
697.06,        2124.05
697.49,       2203.999
697.91,       1420.381
698.34,       1023.741
698.76,       887.1724
699.19,       848.4673
699.61,       822.9166
700.04,       826.0535
700.46,        824.187
700.88,       830.4896
701.31,       843.8106
701.73,       845.4922
702.16,       838.0883
702.58,        826.406
703.01,       816.4491
703.43,       822.5291
703.86,       839.4357
704.28,       843.5739
704.71,       831.7482
705.13,       820.4933
705.55,       825.8375
705.98,       837.3918
706.40,       875.7431
706.83,       985.2416
707.25,       1216.834
707.67,       1213.165
708.10,       1012.599
708.52,       897.3984
708.95,       863.3379
709.37,       842.4836
709.79,       819.2656
710.22,       814.6237
710.64,       819.1913
711.07,       829.8701
711.49,       841.2071
711.91,       837.5208
712.34,       822.4781
712.76,       816.2068
713.18,       820.8406
713.61,       827.6238
714.03,       835.4752
714.45,       841.6252
714.88,       843.5762
715.30,         858.27
715.72,       855.6956
716.15,       852.1234
716.57,       843.8423
716.99,       834.3297
717.42,       826.7992
717.84,       820.9833
718.26,       818.1603
718.68,       819.8442
719.11,       824.4059
719.53,        827.504
719.95,       828.1346
720.38,       827.7837
720.80,       826.8738
721.22,       825.8995
721.64,       825.1786
722.07,       824.4023
722.49,       824.1203
722.91,        824.613
723.33,        825.606
723.76,        828.847
724.18,       833.2329
724.60,       830.4025
725.02,       820.8655
725.45,       821.7031
725.87,        829.026
726.29,        825.393
726.71,       847.4624
727.13,       898.2786
727.56,       1009.961
727.98,       1216.343
728.40,        1078.92
728.82,       944.2303
729.24,       876.4219
729.66,       830.9199
730.09,       820.0272
730.51,       824.3011
730.93,       824.8373
731.35,       833.6919
731.77,       843.3412
732.19,        837.976
732.62,       822.9923
733.04,       819.9573
733.46,       828.8605
733.88,       836.2501
734.30,       838.4521
734.72,        831.514
735.14,       820.5342
735.56,        821.085
735.99,       830.5865
736.41,       841.2719
736.83,       835.3289
737.25,       828.1649
737.67,        864.028
738.09,        935.366
738.51,       1125.441
738.93,       1621.762
739.35,        1585.23
739.77,       1166.818
740.19,       964.1114
740.61,       876.2129
741.03,       848.3306
741.46,       841.1475
741.88,       823.0987
742.30,       814.8156
742.72,       822.9971
743.14,       833.2555
743.56,        844.108
743.98,        839.901
744.40,       824.5367
744.82,       820.1815
745.24,       827.1004
745.66,       833.1223
746.08,        835.506
746.50,       830.1325
746.92,       822.6585
747.34,       829.0755
747.76,       844.7155
748.18,       857.1714
748.60,       841.4067
749.02,       822.6693
749.44,       850.8234
749.86,       944.7472
750.27,       1251.035
750.69,       2172.095
751.11,        3305.13
751.53,       2438.825
751.95,       2109.292
752.37,       1797.245
752.79,       1246.782
753.21,       998.6627
753.63,       887.4155
754.05,       846.3564
754.47,       843.7993
754.89,       852.3116
755.31,       860.2477
755.72,       858.0077
756.14,       848.4665
756.56,       839.9363
756.98,       836.2802
757.40,       833.0704
757.82,       831.8032
758.24,       839.6891
758.66,       851.9874
759.07,       855.7136
759.49,       850.1458
759.91,       840.8682
760.33,       835.5768
760.75,       839.6731
761.17,       849.8794
